2018,1.418,25.2
2017,1.464,23
2016,1.439,23.1
2015,1.463,23.2
2014,1.434,21.9
2013,1.448,22.2
2012,1.500,21.3
2011,1.536,20.6
2010,1.678,21
2009,1.732,20.5
2008,1.728,18.7
2007,1.605,17.3
2006,1.528,17.1
2005,1.468,16.2
2004,1.403,15.1
2003,1.349,14
2002,1.304,13.4
2001,1.213,13
2000,1.104,11.9
1999,0.979,10.9
1998,0.921,10.5
1997,0.813,10.1
1996,0.799,7.6
1995,0.796,8.7
1994,0.838,7.7
1993,0.752,7.8
1992,0.682,7.4
1991,0.573,7.2
1990,0.603,6.2
1989,0.591,6.5
1988,0.635,6.2
1987,0.574,6.6
1986,0.578,6.6
1985,0.564,6.1
1984,0.611,6
1983,0.628,5.6
1982,0.595,5.7
1981,0.557,5.6
1980,0.493,5.5
